Common Name                    ,Scientific Name                ,Review Codes                      ,Notations
Black-bellied Whistling-Duck   ,Dendrocygna autumnalis         ,N
Fulvous Whistling-Duck         ,D. bicolor                     ,N
Snow Goose                     ,Anser caerulescens
Ross's Goose                   ,A. rossii
Greater White-fronted Goose    ,A. albifrons
Pink-footed Goose              ,A. brachyrhynchus              ,N
Brant                          ,Branta bernicla
Barnacle Goose                 ,B. leucopsis                   ,U
Cackling Goose                 ,B. hutchinsii
Canada Goose                   ,B. canadensis                  ,                                  ,*
Mute Swan                      ,Cygnus olor                    ,I                                 ,*
Trumpeter Swan                 ,C. buccinator                  ,D
Tundra Swan                    ,C. columbianus
Wood Duck                      ,Aix sponsa                     ,                                  ,*
Garganey                       ,Spatula querquedula            ,N
Blue-winged Teal               ,S. discors                     ,                                  ,*
Cinnamon Teal                  ,S. cyanoptera                  ,N
Northern Shoveler              ,S. clypeata                    ,                                  ,*
Gadwall                        ,Mareca strepera                ,                                  ,*
Eurasian Wigeon                ,M. penelope
American Wigeon                ,M. americana                   ,                                  ,*
Mallard                        ,Anas platyrhynchos             ,                                  ,*
American Black Duck            ,A. rubripes                    ,                                  ,*
Northern Pintail               ,A. acuta                       ,                                  ,*
Green-winged Teal              ,A. crecca                      ,                                  ,*
Canvasback                     ,Aythya valisineria             ,                                  ,*
Redhead                        ,A. americana                   ,                                  ,*
Ring-necked Duck               ,A. collaris                    ,                                  ,*
Tufted Duck                    ,A. fuligula                    ,U
Greater Scaup                  ,A. marila
Lesser Scaup                   ,A. affinis                     ,                                  ,*
King Eider                     ,Somateria spectabilis
Common Eider                   ,S. mollissima                  ,U                                 ,*
Harlequin Duck                 ,Histrionicus histrionicus
Labrador Duck                  ,Camptorhynchus labradorius     ,                                  ,+
Surf Scoter                    ,Melanitta perspicillata
White-winged Scoter            ,M. deglandi
Black Scoter                   ,M. americana
Long-tailed Duck               ,Clangula hyemalis
Bufflehead                     ,Bucephala albeola
Common Goldeneye               ,B. clangula                    ,                                  ,*
Barrow's Goldeneye             ,B. islandica
Smew                           ,Mergellus albellus             ,N
Hooded Merganser               ,Lophodytes cucullatus          ,                                  ,*
Common Merganser               ,Mergus merganser               ,                                  ,*
Red-breasted Merganser         ,M. serrator                    ,                                  ,*
Ruddy Duck                     ,Oxyura jamaicensis             ,                                  ,*
Northern Bobwhite              ,Colinus virginianus            ,                                  ,*
